activation,decay,threshold,factor_strength,name,propagation_latency,peak_activation,activation_half_life,spread,selectivity,stability,oscillation,convergence,graph_construction_ms,bp_step_ms,activation_update_ms,total_tick_ms,total_run_ms,ticks,exact_factors,approximate_factors
linear,0.01,0.5,0.2,chain,7.0,1.0,inf,1.0,0.4279041977235318,0.75,0.039473684210526314,0.009057319512376427,0.039300008211284876,0.017599959392100573,0.011100026313215494,0.028699985705316067,1.0805000201798975,20,0,0
linear,0.01,0.5,0.5,chain,7.0,1.0,inf,1.0,0.4279041977235318,0.75,0.039473684210526314,0.009057319512376427,0.027499976567924023,0.018300022929906845,0.012299977242946625,0.03060000017285347,0.9589999681338668,20,0,0
linear,0.01,0.5,0.8,chain,7.0,1.0,inf,1.0,0.4279041977235318,0.75,0.039473684210526314,0.009057319512376427,0.013299984857439995,0.018199963960796595,0.011700030881911516,0.02989999484270811,0.8875000057742,20,0,0
linear,0.01,0.7,0.2,chain,inf,1.0,inf,1.0,0.4279041977235318,0.75,0.039473684210526314,0.009057319512376427,0.014299992471933365,0.01750001683831215,0.011299969628453255,0.028799986466765404,0.8836999768391252,20,0,0
linear,0.01,0.7,0.5,chain,inf,1.0,inf,1.0,0.4279041977235318,0.75,0.039473684210526314,0.009057319512376427,0.01209997572004795,0.01769996015354991,0.1531000016257167,0.1707999617792666,1.1396999470889568,20,0,0
linear,0.01,0.7,0.8,chain,inf,1.0,inf,1.0,0.4279041977235318,0.75,0.039473684210526314,0.009057319512376427,0.05100003909319639,0.01850002445280552,0.01179997343569994,0.03029999788850546,1.040700008161366,20,0,0
linear,0.01,0.9,0.2,chain,inf,1.0,inf,0.0,0.4279041977235318,1.0,0.039473684210526314,0.009057319512376427,0.013500044587999582,0.023300002794712782,0.014899997040629387,0.03819999983534217,0.9998000459745526,20,0,0
linear,0.01,0.9,0.5,chain,inf,1.0,inf,0.0,0.4279041977235318,1.0,0.039473684210526314,0.009057319512376427,0.013499986380338669,0.018300022929906845,0.011399970389902592,0.029699993319809437,1.1053000343963504,20,0,0
linear,0.01,0.9,0.8,chain,inf,1.0,inf,0.0,0.4279041977235318,1.0,0.039473684210526314,0.009057319512376427,0.021199986804276705,0.018199963960796595,0.010800024028867483,0.028999987989664078,0.8819999638944864,20,0,0
linear,0.05,0.5,0.2,chain,inf,1.0,inf,1.0,0.4167565750968666,0.75,0.039473684210526314,0.02688277608615497,0.012300035450607538,0.017700018361210823,0.015600002370774746,0.03330002073198557,0.8966000168584287,20,0,0
linear,0.05,0.5,0.5,chain,inf,1.0,inf,1.0,0.4167565750968666,0.75,0.039473684210526314,0.02688277608615497,0.01290004001930356,0.01769996015354991,0.011500029359012842,0.029199989512562752,0.8820000221021473,20,0,0
linear,0.05,0.5,0.8,chain,inf,1.0,inf,1.0,0.4167565750968666,0.75,0.039473684210526314,0.02688277608615497,0.012399978004395962,0.017700018361210823,0.011299969628453255,0.028999987989664078,0.8754999726079404,20,0,0
linear,0.05,0.7,0.2,chain,inf,1.0,inf,0.0,0.4167565750968666,1.0,0.039473684210526314,0.02688277608615497,0.010200019460171461,0.01750001683831215,0.010699965059757233,0.02819998189806938,0.8608000352978706,20,0,0
linear,0.05,0.7,0.5,chain,inf,1.0,inf,0.0,0.4167565750968666,1.0,0.039473684210526314,0.02688277608615497,0.01009996049106121,0.01810002140700817,0.010800024028867483,0.028900045435875654,0.8699999889358878,20,0,0
linear,0.05,0.7,0.8,chain,inf,1.0,inf,0.0,0.4167565750968666,1.0,0.039473684210526314,0.02688277608615497,0.013599987141788006,0.01769996015354991,0.01090002479031682,0.02859998494386673,0.8548999903723598,20,0,0
linear,0.05,0.9,0.2,chain,inf,1.0,inf,0.0,0.4167565750968666,1.0,0.039473684210526314,0.02688277608615497,0.01260003773495555,0.017900019884109497,0.011000025551766157,0.028900045435875654,0.867700029630214,20,0,0
linear,0.05,0.9,0.5,chain,inf,1.0,inf,0.0,0.4167565750968666,1.0,0.039473684210526314,0.02688277608615497,0.010300020221620798,0.017600017599761486,0.011599971912801266,0.029199989512562752,0.8458999800495803,20,0,0
linear,0.05,0.9,0.8,chain,inf,1.0,inf,0.0,0.4167565750968666,1.0,0.039473684210526314,0.02688277608615497,0.009300012607127428,0.01810002140700817,0.010699965059757233,0.028799986466765404,0.859999970998615,20,0,0
linear,0.1,0.5,0.2,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.008800008799880743,0.01780001912266016,0.010699965059757233,0.028499984182417393,0.8483999990858138,20,0,0
